,id,title
77,75-00143,"Une  réponse d'Ambroise à l'empereur Gratien (CPL 160a) édition, traduction, commentaire"
78,75-00144,La  dynamique de la joie chez Ambroise de Milan
79,75-00145,"Ambrose, Paul and Expositio psalmi CXVIII"
80,75-00147,"Elefanti, serpenti e bachi da seta riflessioni su qualche aspetto del repertorio zoologico ambrosiano"
81,75-00148,Los  animales acuáticos en San Ambrosio simbolismo cristiano e ictiología
82,75-00151,Doit-on attribuer à saint Ambroise l'« Apologia Dauid altera » ?
83,75-00154,Ameinias' conception of ἡσυχία
84,75-00160,«  Mendacium Metrodori » un particolare « casus belli »
85,75-00164,"Doctrinae genus haud leve der Exkurs über Weissagung in den « Res Gestae » des Ammianus Marcellinus (XXI, 1, 6-14)"
86,75-00166,"Las  figuras de Cornelio Galo y el César Galo en las « Res gestas » de Amiano Marcelino (XVII 4, 5)"
87,75-00168,Intérpretes militares y movimientos de información táctica en el frente oriental según Amiano Marcelino
88,75-00170,Ammianus and the great tsunami
89,75-00172,"Ammien 31, 16, 9 une « recusatio » ?"
90,75-00174,The  eminent bard and the soldierly Greek refractions between Virgil and Ammianus
91,75-00175,Ammianus Marcellinus 21.6.3 a misunderstood omen
92,75-00178,Les  canons de Proclus problèmes et conséquences de l'interprétation syriano-proclienne du « De interpretatione »
93,75-00179,Cynism and hellenism in the « Letters » of Anacharsis and in the « Vita Aesopi »
94,75-00180,"Anacharsis, the wise man from abroad"
95,75-00185,Un  nouveau témoin des « Narrationes » d'Anastase le Sinaïte dans les « membra disjecta » d'un manuscrit sinaïtique (« Sinaiticus MΓ 6 + MF 21 »)
96,75-00186,Adherence to the Chalcedonian Creed and organisation of the Byzantine army in the seventh century
97,75-00189,La  profezia del filosofo considerazioni su vita e dottrina di Anassagora
98,75-00190,Was Anaxagoras a reductionist ?
99,75-00194,Anaximenes theology and physics
100,75-00197,"Teoderico a Roma politica, amministrazione e propaganda nell'« adventus » dell'anno 500 considerazioni sull'« Anonimo Valesiano II »"
101,75-00198,"Anthime, un médecin gourmet du début des temps mérovingiens"
102,75-00202,Note esegetiche all'« Anthologia Palatina »
103,75-00203,Seeing thought Timomachus' Medea and ecphrastic epigram
104,75-00205,Lo  scriba J dell'« Antologia Palatina » e Costantino Rodio
105,75-00211,«  Achilles in Parthenone »
106,75-00212,«  Achilles in Parthenone »
107,75-00213,Natura umana e divina di Cristo in Anth. Lat. 494C R.2
108,75-00214,Per il testo della « Anthologia Latina »
109,75-00215,Anth. Lat. 36 « de Euryalo » a sole surviving solace ?
110,75-00216,"«  Innumerus Arion » (su Anth. Lat. 11, 155-156 R.2)"
111,75-00217,«  Libiam ne'lieti calici » in mezzo ai Goti nota etimologica ad Anth. Lat. 285 Riese (= 279 Shackleton Bailey)
112,75-00218,"Nuovo emendamento ad « Anthologia Latina » 123, 4 Riese (= 112 Shackleton Bailey), con una proposta di cronologia relativa"
113,75-00219,"[Antigono Caristio], « Rerum mirabilium collectio » 20"
114,75-00220,Antimaco di Teo ?
115,75-00221,Su alcuni epigrammi di Antipatro di Sidone in relazione al nuovo Posidippo
116,75-00221a,To bee or not to bee ? : Antipater AP 7.34 a mistaken interpretation
117,75-00222,Pindar and the bees a waspish reply
118,75-00225,Antiphanes' Agroikos-plays an examination of the ancient evidence and fragments
119,75-00226,A  pun in Antiphanes (fr. 225 K-A = Ath. 60C-D)
120,75-00229,"Antifonte il sofista, il retore, l'ateniese in margine a due recenti pubblicazioni"
121,75-00238,L' eschatologie d'Apollinaire de Laodicée à travers les « Fragments sur les Psaumes »
122,75-00239,Bibliographical survey on Apollodorus the mythographer a supplement
123,75-00246,"A Medea le duele la cabeza comentario a Apolonio Rodio III, 761-765"
124,75-00248,Ipsipile oratrice la « diatiposi » in Apoll. Rh. 1. 793-833
125,75-00251,Comparative notes on minor episodes from Apollonius Rhodius' « Argonautica » and Callimachus' Fragments
126,75-00253,Su alcuni luoghi di Apollonio Rodio
127,75-00262,"Omero, Appiano e l'ombra di un padre Giovanni Basilio Romolo Calcondila"
128,75-00263,Gli  antefatti del conflitto tra Cesare e Pompeo nel libro II delle « Guerre civili » di Appiano
129,75-00264,Il  dibattito politico a Roma nel 49-48 a.C. e i discorsi in Appiano
130,75-00265,"Appiano, Illyr. 3 e la pirateria illirica nel IV sec. a.C."
131,75-00266,"Apiano, BC, 4, 32 Octavia como « exemplum » del papel de la mujer en la propaganda política del Segundo Triunvirato (44-30 a.C.)"
132,75-00267,"Mark Antony and the raid on Palmyra reflections on Appian, Bella Civilia V, 9"
133,75-00283,L' itinerario conoscitivo nella « praefatio » del « De mundo » apuleiano
134,75-00286,"La  caduta dei re Fedra e Ippolito banalizzati (Apul., met. X, 2-12)"
135,75-00288,Pour une lecture narratologique du conte d'Amour et Psyché
136,75-00289,«  Docta nimis visa et facunda » wishful thinking or social reality ?
137,75-00290,Narration et argumentation dans l'« Apologie » d'Apulée
138,75-00297,Robbers and soldiers criminality and Roman army in Apuleius' Metamorphoses
139,75-00303,A  trimeter in Apuleius
140,75-00305,«  Heraclitus lugens » in Apuleio (osservazioni ad Apul. Mund. 335)
141,75-00307,Image sans fond Apulée vu par lui-même dans l'« Apologie » et dans les « Florides »
142,75-00312,Delusion and dream in Apuleius' « Metamorphoses »
143,75-00313,"«  Mulieres plusciae » Medea e Circe dall'antinomia alla pseudonimia, vale a dire Maghe e magie dalla « narrazione epica » alla « fabula milesia » di Apuleio"
144,75-00314,A  note on Apuleius' « Metamorphoses »
145,75-00315,"Apuleio, apol. 30-35 e le « trappole » dell'eufemismo"
146,75-00317,The  ending of Apuleius' « Metamorphoses »
147,75-00318,Thelyphron's story (Apul. Met. 2.21-30)
148,75-00322,Les  déboires d'un âne ou Les métamorphoses du commerce dans le roman d'Apulée
149,75-00327,Apulée est-il un « uir bonus dicendi peritus » dans le « De Magia » ?
150,75-00335,"Making water not love Apuleius, Metamorphoses 1.13-14"
151,75-00338,Aratos et ses traducteurs latins de la simple transposition à l'adaptation inventive
152,75-00339,La  forgiatura della spada e l'uccisione dei buoi da lavoro in Arato (e « Aratea » latini) e in Virgilio
153,75-00340,Arato y la raza de bronce (Phaen. 131-132) una interpretación
154,75-00342,«  Phaenomena » como género hesiódico
155,75-00343,Proemio ed esordio nei « Phaenomena » di Arato
156,75-00349,Arquíloco e Heráclito
157,75-00351,Eros ingannatore (Archil. fr. 191 W.2)
158,75-00353,"Une  écriture d'imitation le « Laurentianus » 28, 4 d'Archimède"
159,75-00354,Archino tra oratoria e politica l'epitafio
160,75-00357,"Areteo e i delicati di stomaco (IV 6, 2)"
161,75-00360,Zur Datierung und Identität des Aristainetos
162,75-00364,La  description de Jérusalem et de la Judée dans la « Lettre d'Aristée »
163,75-00367,"Hermes storpio o cillenio ? un errore nella « Vita Barlaam et Josaphat » 408, 25-28"
164,75-00372,"Una  nota a Elio Aristides, or. XLV 377 ¿ Σκύλλα o Σκύλλος ?"
165,75-00377,Sull'attribuzione della « Disputa fra Giasone e Papisco » ad Aristone di Pella
166,75-00390,Il «  Pluto » in povertà di Rinuccio Aretino
167,75-00391,Saperi femminili in un mondo alla rovescia le donne in « Lisistrata » e « Ecclesiazuse »
168,75-00392,On the date and plot of Aristophanes' lost « Thesmophoriazusae II »
169,75-00395,«  Rendre l'homme meilleur ! » ou Quand la comédie interroge la tragédie sur sa finalité à propos des « Grenouilles » d'Aristophane
170,75-00397,Arrojar luz al texto cómico juego léxico y denuncias por φάσις en « Acarnienses » de Aristófanes
171,75-00398,The  date of Aristophanes' lost « Thesmophoriazusae » a response to Austin and Olson
172,75-00399,"Politique, éducation et pulsions « naturelles » dans les « Guêpes » de la comédie sociale « réaliste » à la subversion comique « carnavalesque » et au triomphe de Dionysos"
173,75-00400,Remarques additionnelles sur la parabase des « Oiseaux » (v. 676-800)
174,75-00402,Néphélococcygie et la jeunesse éternelle
175,75-00403,Aristofane e gli alleati di Atene
176,75-00404,"Hiérocles, o adivinho uma visita do sublime ao grotesco"
177,75-00405,Aristophanes and the folk-tale
178,75-00406,O  dono da voz a comédia do auto-elogio e da censura
179,75-00407,Due parodie comiche della « psychostasia » Ar. Ran. 1364-1413 e fr. 504 K.-A.
180,75-00408,« Las  asambleístas » de Aristófanes del ensayo a la recepción/de la actuación a la política
181,75-00409,"Un  uso metafórico del vino en Aristófanes las vinosas treguas de « Acarnienses », 186-200"
182,75-00410,"Apollo's hawk at Aristophanes, Birds 516"
183,75-00411,"«  Kukliodidaskalos », « didaskalos », « poétès » les personnages de poètes dans les « Oiseaux » d'Aristophane"
184,75-00412,"Corrigendum zu « Aus der Arbeit an den Poetae Comici Graeci » ZPE 145, 2003"
185,75-00414,"Aristofane, Eracle e Cleone sulla duplicità di un'immagine aristofanea"
186,75-00415,Dioniso bussa ed Eracle risponde Aristoph. Ran. 38-39 e una tradizione trascurata
187,75-00416,Mythes et dieux dans les « Oiseaux » d'Aristophane
188,75-00417,Aristophane et les étrangers
189,75-00419,La  técnica de esconderse en la comedia de Aristófanes
190,75-00420,Public et mémoire théâtrale dans l'Athènes d'Aristophane
191,75-00421,«  Speak on my behalf » persuasion and purification in Aristophanes' « Wasps »
192,75-00422,Le  chœur des « Cavaliers » d'Aristophane un chœur zoomorphe
193,75-00423,Le  sauvage et la cité dans les « Oiseaux » d'Aristophane
194,75-00424,Vers armés et « perte de fiole » transactions tragi-comiques de mots et d'objets dans les « Grenouilles » d'Aristophane
195,75-00425,A  poet at work the parody of « Helen » in the « Thesmophoriazusae »
196,75-00426,Remarques sur quelques termes appartenant au vocabulaire de la démocratie chez Aristophane
197,75-00427,« Les  Oiseaux » d'Aristophane / sous la dir. deNoël Marie-Pierre
198,75-00429,"La  voce dell'usignolo, il suono dell'aulo Aristoph. Av. 209-222 (e alcuni passi tragici)"
199,75-00430,Les  entrées et sorties du chœur dans les comédies d'Aristophane
200,75-00431,Prodicus and the agon of the « Logoi » in Aristophanes' « Clouds »
201,75-00432,Rhetoric and arithmetic in Aristophanes' « Wasps »
202,75-00433,Ambiguities in « kreitton logos » ?
203,75-00434,Echi dell'« Auge » di Euripide nella « Lisistrata » di Aristofane
204,75-00436,"Aristophanes, Acharnians 1118-21"
205,75-00438,El  prólogo trágico y la cuestión de la « orthoepeia » en « Ranas » de Aristófanes
206,75-00439,Ad Aristoph. Nubes 661 ss.
207,75-00440,Aristophanes' « Frogs » and the « Contest of Homer and Hesiod »
208,75-00441,"Friends, lovers, flatterers demophilic courtship in Aristophanes' « Knights »"
209,75-00444,Sur le parfum tragique des « côla » métriques chez Aristophane
210,75-00446,Designing women Aristophanes' « Lysistrata » and the « hetairization » of the Greek wife
211,75-00447,"Aristofane, Pace 257 s. un pugno piccante"
212,75-00448,Un  palmipede spaccone (Ar. Av. 1295)
213,75-00449,Cuisine et sexualité chez Aristophane
214,75-00450,Pisétaire et Évelpide
215,75-00451,Winter in the comedies of Aristophanes
216,75-00452,Interprétations comiques des métaphores d'Euripide dans les « Grenouilles » d'Aristophane
217,75-00453,Aspasia on stage Aristophanes' « Ecclesiazusae »
218,75-00454,"Euripide, héros et poète comique à propos des « Acharniens » et des « Thesmophories » d'Aristophane"
219,75-00456,« Das  Vösslein ist ja bei den « Acharnern » noch mehr acharné ... » : ein philologiegeschichtlicher Beitrag zur Kontroverse F. A. Wolf - H. u. J. H. Voss
220,75-00458,Old Persian in Athens revisited (Ar. Ach. 100)
221,75-00468,The  manuscripts of the « De Sensu » and the « De Memoria » preliminary texts and full collations / [ed. by]Bloch David J.
222,75-00477,Anonymi Parisiensis « Compendium Sophisticorum Elenchorum » the Uppsala version / [ed. by]Ebbesen Sten
223,75-00478,Anonymus D'Orvillensis' commentary on Aristotle's « Categories » / [ed. by]Ebbesen Sten
224,75-00493,"La  scienza dell'anima le questioni epistemologiche del commento al « De anima » conservato nel ms. Siena, Biblioteca Comunale, L.III.21, ff. 134ra-177ra : ff. 136ra-138va"
225,75-00494,Le  postille di Bernardo e di Torquato Tasso al commento di Francesco Robortello alla « Poetica » di Aristotele
226,75-00495,À la source du temps
227,75-00497,Burley on equivocation in his companion to a « Tractatus fallaciarum » and his questions on the « Elenchi » / [ed. by]Ebbesen Sten
228,75-00498,"Jean Chortasménos, « katholikos didaskalos », annotateur du « Corpus Logicum » dû à Néophytos Prodromènos"
229,75-00499,"Théodore Prodrome, Jacques de Venise, Robert Grosseteste et l'histoire d'une erreur interprétative dans l'exégèse des Seconds analytiques II,1 notes sur la tradition exégétique des « Analytiques »"
230,75-00500,Des  cigales aux martinets
231,75-00501,La  circolazione della « Poetica » di Aristotele dal Medioevo al Rinascimento
232,75-00505,Aristotle's « Categories » in the Greek and Latin Medieval exegetical tradition the case of the argument for the non-simultaneity of relatives
233,75-00506,Words and signification in 13th-century questions on Aristotle's « Metaphysics »
234,75-00508,"Words, concepts and things Cajetan on the subject of the « Categories »"
235,75-00512,«  Faciliter edoceri » Niccolò Tignosi and the audience of Aristotle's « Ethics » in fifteenth-century Florence
236,75-00515,Interference and interaction between Aristotelianism and the School of Epicurus
237,75-00519,A  Porretanean commentary on Aristotle's « Categories » / ed. byEbbesen Sten
238,75-00520,Mesino de Codronchi's « Quaestiones » on Aristotle's « De Interpretatione » an edition of Quaestio III (Utrum voces subordinentur conceptibus)
239,75-00521,La  zoologia di Aristotele nel Medioevo recenti edizioni
240,75-00523,"Sophismata and Physics commentaries texts by Anonymus GC466, Anonymus GC513, and Radulphus Brito / [ed. by]Ebbesen Sten"
241,75-00524,"Texts on equivocation. 1, Ca. 1130-ca. 1270 / [ed. by]Ebbesen Sten"
242,75-00525,"Texts on equivocation. 2, Ca. 1250-1310 / [ed. by]Ebbesen Sten"
243,75-00527,"An  anonymous fifteenth-century commentary on « De anima » in Uppsala, Universitetsbibliotek, Cod. C 627"
244,75-00530,La «  aporía » en Aristóteles análisis del término y exposición de las « aporías » de Metafísica III
245,75-00532,São as formas individuais ?
246,75-00533,Φυσικες ἔννοιες στον Ἀριστοτέλη
247,75-00537,Ἀθηναίων Πολιτεία 56.6 and the protection of the weak
248,75-00540,"Tragédie, « thumos », et plaisir esthétique"
249,75-00542,Alcune annotazioni su Aristot. Ath. Pol. LXI.2
250,75-00543,La  Sparta di Aristotele un ambiguo paradigma o la crisi di un modello ? 
251,75-00544,Il «  dogma » e l'egemonia dell'Areopago ad Atene ([Aristot.] Ath. Pol. XXIII 1-2)
252,75-00551,Aristotle on the irreducible senses of the good
253,75-00554,Aristotle on sperm competition in birds
254,75-00557,Aristotle on « nous » of simples
255,75-00558,Dopo Platone note a margine sulla fantasia in Aristotele e Averroe
256,75-00561,"Bizarre, vous avez dit bizarre…"
257,75-00568,Aristotle FR. 44 Rose Midas and Silenus
258,75-00571,Σχολιασμος δύο χωρίων (991a 19-24 και 991b 2-5) τοῦ Ἀριστοτελείου συγγράμματος « Μετα τα φυσικά »
259,75-00572,Éducation morale et « catharsis » tragique
260,75-00575,«  Mimèsis » tragique et apprentissage de la « phronèsis »
261,75-00581,Non-substantial individuals in Aristotle's « Categories »
262,75-00587,L' assemblée du peuple dans les « polities » aristocraties et oligarchies de la « Politique » d'Aristote
263,75-00588,«  Aristoteles ex Aristotele » : a response to the analytical reconstruction of Aristotelian ontology
264,75-00589,Il  significato di Metaph. Ζ 13 una risposta a M. L. Gill
265,75-00590,La  théorie aristotélicienne de la différence dans les « Topiques »
266,75-00593,The  unity of intellect in Aristotle's « De anima »
267,75-00595,La  dottrina aristotelica dell'intelletto una rilettura
268,75-00596,"Atoms, complexes, and demonstration Posterior analytics 96b15-25"
269,75-00600,Su una recente interpretazione della teoria aristotelica del linguaggio
270,75-00601,The  functions of pleasure in Nicomachean ethics X 4-5
271,75-00602,La  psychologie morale de la catharsis un essai de reconstruction
272,75-00603,"Xenarchus, Alexander, and Simplicius on simple motions, bodies and magnitudes"
273,75-00605,"Ἔνδοξα, epistemological optimism, and Aristotle's rhetorical project"
274,75-00610,Einheit und Vielheit der ethischen Vortrefflichkeit bei Aristoteles
275,75-00611,Feature review article
276,75-00612,Did the « hektemoroi » exist ?
277,75-00614,Poised between the universal and the particular the status of literature according to Aristotle's « Poetics »
278,75-00619,The  argument of Metaphysics VI 3
279,75-00621,"Voir, regarder, contempler le plaisir de la reconnaissance de l'humain"
280,75-00622,Aristotle on anger and the emotions the strategies of status
281,75-00623,Aristotle on the desirability of friends
282,75-00626,Ἡ ἔννοια τῆς « ἐπιεικείας » παῤἈριστοτέλει
283,75-00634,"Comment bien définir une puissance ? : sur la notion de puissance des contraires (Aristote, Métaphysique, Θ 2)"
284,75-00637,«  Akzidens » (συμβεβηκός) bei Aristoteles der Begriff des « Symbebêkos » im philosophischen und naturwissenschaftlichen Sprachgebrauch des Aristoteles
285,75-00639,Ovumne prius extiterit an gallina
286,75-00641,Reflexiones sobre la « Poética » de Aristóteles
287,75-00643,"Aristotle, induction, and first principles"
288,75-00644,Towards a science of the individual the Aristotelian search for scientific knowledge of individual entities
289,75-00647,Reconsidering the intention or purpose of Aristotle's « Rhetoric »
290,75-00651,Aristote et l'arc-en-ciel enjeux philosophiques et étude scientifique
291,75-00653,Sulla nozione di possibilità in Aristotele
292,75-00654,"Ὁρισμός, la etapa inicial de toda investigación científica en « Analíticos segundos » a propósito de algunos argumentos en la interpretación de David Charles"
293,75-00655,Considerazioni preliminari ad una rilettura critica della tradizione testuale della « Retorica » di Aristotele
294,75-00657,Se si possa essere musico e grammatico
295,75-00659,Καιρος ἠ το κρίσιμον ἐλάχιστον στις ἐπιστῆμες τῆς φύσεως κατα τον Ἀριστοτέλη
296,75-00660,"Se connaître soi-même tragédie, bonheur et contingence"
297,75-00661,«  Ergon » und « Eudaimonia » Plädoyer für eine unifizierende Interpretation der « ergon »-Argumente in den aristotelischen Ethiken
298,75-00662,The  metarhetoric of Aristotle with some examples from his « On memory and recollection »
299,75-00665,Aristotele e il linguaggio oltre il dilemma natura/convenzione
300,75-00669,Ὁ Ἀριστοτέλης και ἡ ἐξέλιξη τῶν εἰδῶν
301,75-00670,La  estructura del silogismo práctico en Aristóteles
302,75-00672,The  meaning of Aristotelian magnanimity
303,75-00674,Recherches sur le vocabulaire politique d'Aristote δῆμος et πλῆθος dans la Constitution d'Athènes et dans le livre III de la Politique
304,75-00678,Aristote et ses devanciers pour une archéologie du discours délibératif
305,75-00678a,La «  Poétique » d'Aristote lectures morales et politiques de la tragédie
306,75-00680,To be « and » not to be - that is the answer on Aristotle on the law of non-contradiction
307,75-00686,"Aristotle, Antisthenes of Rhodes, and the « Magikos »"
308,75-00688,"La  question du droit naturel en Éthique à Nicomaque E 10, 1134b 19-1135a 6"
309,75-00689,"Aristotle, Poetics 1447a13-16 and musical contests"
310,75-00690,"A  filosofia como actualização da forma do saber (Aristóteles. Metafísica, A1-3)"
311,75-00692,Aristote et la signification
312,75-00694,Aristotle's metaphysics of action
313,75-00695,"Sull'impossibile incontinenza dell'abile Aristot. Eth. Nic. VII, 1152a10-14"
314,75-00707,Aristotelische Substanzen und realistische Interpretationen der Quantenmechanik
315,75-00709,"Aristotle on colour, light and imperceptibles"
316,75-00710,Aristotle's concept of nature
317,75-00711,La  loi selon Aristote du religieux au naturel
318,75-00712,Living capacities and vital heat in Aristotle
319,75-00714,How to base apodeictic syllogistic on essentialist theory
320,75-00715,Aristotle on brutishness
321,75-00717,Aristotle's ethics retranslated review article
322,75-00718,Freundschaft und Wohlwollen bei Aristoteles
323,75-00721,«  Phantasia » et « mimesis » chez Aristote
324,75-00722,«  Ethnos » e « polis » in Aristotele
325,75-00723,"Note textuelle sur un (problème de) lieu géométrique dans les « Météorologiques » d'Aristote III.5, 375b16-376b22"
326,75-00725,Le  rôle des principes universels dans les démonstrations selon Aristote
327,75-00726,Aristotle on the firmness of the principle of non-contradiction
328,75-00727,On the use and abuse of non-contradiction Aristotle's critique of Protagoras and Heraclitus in Metaphysics Gamma 5
329,75-00729,Egoism and eudaimonia-maximization in the « Nicomachean ethics »
330,75-00733,Prinzipien und expositorische Beweise in Aristoteles' Syllogistik
331,75-00734,Interpreting Aristotle on mixture problems about elemental composition from Philoponus to Cooper
332,75-00736,Autour de la « Poétique » d'Aristote
333,75-00737,Distinguishing the public from the private Aristotle's solution to Plato's paradox
334,75-00739,"Aristoxenos, Περι βίων and Peripatetic biography"
335,75-00745,Moïse en Égypte religion et politique dans les fragments d'Artapan
336,75-00746,"Disiecta membra. 3, (Tre note di lettura ad Artemidoro e Stefano di Bisanzio)"
337,75-00747,"Artémidore, mythologie et symbolique funéraire"
338,75-00751,Grief beyond measure Asclepiades 33 Gow-Page (AP XIII.23) on the troubles of Botrys
339,75-00754a,La  pivoine dans les herbiers astrologiques grecs entre magie et médecine
340,75-00755,Astrological remarks on the new horoscopes from Kellis
341,75-00757,Dati per la compilazione di un oroscopo in un papiro di Narmuthis
342,75-00762,Athanasius' initial defense of the term ὁμοούσιος rereading the « De decretis »
343,75-00765,Il «  Codex Coislinianus » 303 e la presunta attribuzione ad Arsenio della « Vita Syncleticae »
344,75-00767,The  construction of a « heretical party » in the « Apologia contra Arianos » of Athanasius of Alexandria
345,75-00769,Das  römische Kaisertum und das Verhältnis von Kaiser und Kirche bei Athanasius von Alexandrien
346,75-00773,What did he do ? : Clearchus on Philoxenus (ap. Ath. 1.5f-6a = Clearch. Fr. 57 Wehrli)
347,75-00774,Ateneo e Stobeo alla Biblioteca Vaticana tracce di codici perduti
348,75-00775,Il  fatale approdo di cinque uomini su dieci navi un enigma in Athen. X 457b-c
349,75-00778,Ateneo testimone di Eschilo
350,75-00780,Il «  deipnosofista » Ulpiano in Ateneo
351,75-00781,"Athen., Deipn., XIII e la cultura giuridica echi ed assonanze"
352,75-00784,A proposito della nuova edizione del « De resurrectione mortuorum » dello Pseudo-Atenagora e dello Pseudo-Giustino
353,75-00812,"Le «  sermo ad populum LXVII » de saint Augustin introduction, édition, annotations critiques / [par]De Coninck, Luc,Coppieters 't Wallant BertrandCoppieters 't WallantBertrand,Demeulenaere Roland"
354,75-00813,Le  sermon 131 de saint Augustin introduction et édition / [par]Partoens Gert
