"URI","TYPE","TEXT"
"/cwkb/authors/1428","fre","Agathias le Scolastique"
"/cwkb/authors/1428","ger","Agathias von Myrina"
"/cwkb/authors/1382","default","Agathon"
"/cwkb/authors/1159","default","Aglaïs"
"/cwkb/authors/1159","lat","Aglaias"
"/cwkb/authors/2398","default","Aglaias Byzantius"
"/cwkb/authors/2824","default","Agroecius"
"/cwkb/authors/577","default","Albinovanus Pedo"
"/cwkb/authors/577","lat","Gaius Albinovanus Pedo"
"/cwkb/authors/577","abbr","Albinov."
"/cwkb/authors/364","default","Albinus"
"/cwkb/authors/364","abbr","Alb."
"/cwkb/authors/1136","default","Albinus Smyrnaeus"
"/cwkb/authors/1136","ger","Albin"
"/cwkb/authors/1136","ita","Albino"
"/cwkb/authors/1136","blank","Albinus"
"/cwkb/authors/647","ger","Tibull"
"/cwkb/authors/647","fre","Tibulle"
"/cwkb/authors/647","default","Albius Tibullus"
"/cwkb/authors/647","ita","Albio Tibullo"
"/cwkb/authors/647","abbr","Tib."
"/cwkb/authors/647","spa","Albio Tibulo"
"/cwkb/authors/2423","default","Alcimus Ecdicius Auitus episcopus Viennensis"
"/cwkb/authors/1332","default","Alcimus Ecdicius Avitus episcopus Viennensis"
"/cwkb/authors/724","default","Alciphron"
"/cwkb/authors/724","spa","Alcifrón"
"/cwkb/authors/724","ita","Alcifrone"
"/cwkb/authors/724","abbr","Alciphr."
"/cwkb/authors/724","blank","Alkiphron"
"/cwkb/authors/2399","default","Alcmaeon"
"/cwkb/authors/725","default","Alcmaeonis"
"/cwkb/authors/2421","default","Aldhelmus Scireburnensis"
"/cwkb/authors/1160","default","Alexander Aetolus"
"/cwkb/authors/726","ger","Alexandros"
"/cwkb/authors/726","fre","Alexandre d'Aphrodise"
"/cwkb/authors/726","eng","Alexander of Aphrodisias"
"/cwkb/authors/726","default","Alexander Aphrodisiensis"
"/cwkb/authors/726","ita","Alessandro d'Afrodisia"
"/cwkb/authors/726","gre"," Ἀλέξανδρος"
"/cwkb/authors/726","abbr","Alex. Aphr."
"/cwkb/authors/726","blank","Alexander "
"/cwkb/authors/726","lat","Alexander Aphrodisiensis"
"/cwkb/authors/726","spa","Alejandro de Afrodisias"
"/cwkb/authors/2635","default","Alexander Ephesius"
"/cwkb/authors/1162","default","Alexander Lycopolitanus"
"/cwkb/authors/1161","default","Alexander Rhetor"
"/cwkb/authors/1397","ger","Alexander von Tralles"
"/cwkb/authors/1397","fre","Alexandre de Tralles"
"/cwkb/authors/1397","eng","Alexander of Tralles"
"/cwkb/authors/1397","default","Alexander Trallianus"
"/cwkb/authors/1397","ita","Alessandro di Tralle"
"/cwkb/authors/1397","lat","Alexander Trallensis"
"/cwkb/authors/1397","spa","Alejandro de Tralles"
"/cwkb/authors/397","default","Alfius Avitus"
"/cwkb/authors/397","lat","Alphius Avitus, Flavius‏"
"/cwkb/authors/397","abbr","Alf. Avit."
"/cwkb/authors/2664","default","Altercatio Ecclesiae et Synagogae"
"/cwkb/authors/1139","default","Altercatio Hadriani Augusti et Epicteti Philosophi"
"/cwkb/authors/727","default","Alypius"
"/cwkb/authors/727","ger","Alypios"
"/cwkb/authors/727","abbr","Alyp."
"/cwkb/authors/1324","default","Ambrosiaster"
"/cwkb/authors/2613","fre","Saint Ambroise"
"/cwkb/authors/2613","eng","Ambrose of Milan"
"/cwkb/authors/2613","default","Ambrosius Mediolanensis"
"/cwkb/authors/2613","ita","Ambrogio"
"/cwkb/authors/2613","abbr","Ambr."
"/cwkb/authors/2613","lat","Ambrosius"
"/cwkb/authors/2613","spa","Ambrosio"
"/cwkb/authors/2422","default","Ambrosius Mediolanensis (pseudo)"
"/cwkb/authors/2440","default","Amipsias"
"/cwkb/authors/2846","fre","Ammien Marcellin"
"/cwkb/authors/2846","eng","Ammian"
"/cwkb/authors/2846","default","Ammianus Marcellinus"
"/cwkb/authors/2846","ita","Ammiano Marcellino"
"/cwkb/authors/2846","lat","Amm."
"/cwkb/authors/2846","spa","Amiano Marcelino"
"/cwkb/authors/728","default","Ammon"
"/cwkb/authors/1163","default","Ammonius"
"/cwkb/authors/1163","abbr","Ammon."
"/cwkb/authors/2614","default","Ammonius Grammaticus"
"/cwkb/authors/729","default","Ammonius Philosophus"
"/cwkb/authors/729","spa","Amonio de Hermias"
"/cwkb/authors/729","ita","Ammonio di Alessandria"
"/cwkb/authors/729","abbr","Ammon."
"/cwkb/authors/729","blank","Ammonius Alexandrinus Hermias"
"/cwkb/authors/367","default","Ampelius"
"/cwkb/authors/367","lat","Ampelius, L."
"/cwkb/authors/367","abbr","Ampel."
"/cwkb/authors/367","blank","Ampelio"
"/cwkb/authors/730","ger","Amphilochos"
"/cwkb/authors/730","fre","Amphiloque d'Iconium"
"/cwkb/authors/730","default","Amphilochius"
"/cwkb/authors/730","abbr","Amph."
"/cwkb/authors/730","blank","Amphilochius"
"/cwkb/authors/730","lat","Amphilochius Iconiensis"
"/cwkb/authors/2439","default","Amphis"
"/cwkb/authors/731","default","Anacreon"
"/cwkb/authors/731","lat","Anacreo"
"/cwkb/authors/731","ita","Anacreonte"
"/cwkb/authors/731","abbr","Anacr."
"/cwkb/authors/731","blank","Anakreon"
"/cwkb/authors/732","default","Anacreontea"
"/cwkb/authors/2410","default","Ananius"
"/cwkb/authors/733","default","Anatolius"
"/cwkb/authors/733","ger","Anatolios"
"/cwkb/authors/733","blank","Anatolius"
"/cwkb/authors/2636","default","Anaxandrides Comicus"
"/cwkb/authors/2637","default","Anaximander Historicus"
"/cwkb/authors/734","default","Anaximenes"
"/cwkb/authors/734","ita","Anassimene‏ "
"/cwkb/authors/734","abbr","Anaximen."
"/cwkb/authors/734","blank","Anaximenes"
"/cwkb/authors/734","lat","Anaximenes Lampsacenus"
"/cwkb/authors/734","spa","Anaxímenes de Lámpsaco"
"/cwkb/authors/2514","default","Anaximenes Lampsacenus"
"/cwkb/authors/735","fre","Andocide"
"/cwkb/authors/735","default","Andocides"
"/cwkb/authors/735","gre","Ἀνδοκίδης"
"/cwkb/authors/735","abbr","And."
"/cwkb/authors/735","blank","Andokides"
"/cwkb/authors/735","spa","Andócides"
"/cwkb/authors/449","ger","Cornutus‏ Grammatiker"
"/cwkb/authors/449","default","Annaeus Cornutus"
"/cwkb/authors/449","ita","Cornuto‏ di Leptis"
"/cwkb/authors/449","abbr","Cornut."
"/cwkb/authors/449","blank","Cornuto"
"/cwkb/authors/449","lat","Lucius Annaeus Phurnutus"
"/cwkb/authors/620","ger","Seneca‏ Stoischer Philosoph"
"/cwkb/authors/620","fre","Sénèque le Jeune"
"/cwkb/authors/620","eng","Seneca the Younger"
"/cwkb/authors/620","default","Annaeus Seneca iunior"
"/cwkb/authors/620","ita","Seneca il giovane"
"/cwkb/authors/620","abbr","Sen."
"/cwkb/authors/620","lat","Lucius Annaeus Seneca Minor‏"
"/cwkb/authors/620","spa","Séneca el Joven"
"/cwkb/authors/1358","default","Annaeus Seneca iunior (pseudo)"
"/cwkb/authors/622","ger","Seneca der Rhetor"
"/cwkb/authors/622","fre","Sénèque le père "
"/cwkb/authors/622","eng","Seneca the Rhetorician"
"/cwkb/authors/622","default","Annaeus Seneca senior"
"/cwkb/authors/622","ita","Lucio Anneo Seneca il Retore"
"/cwkb/authors/622","abbr","Sen."
"/cwkb/authors/622","lat","Marcus Lucius Annaeus Seneca senior"
"/cwkb/authors/622","spa","Lucio Marco Anneo Séneca el Viejo"
"/cwkb/authors/369","default","Annianus"
"/cwkb/authors/369","lat","Annianus Faliscus"
"/cwkb/authors/369","abbr","Annian."
"/cwkb/authors/472","ger","Florus‏ von Nordafrika"
"/cwkb/authors/472","fre","Florus‏ ‎poète"
"/cwkb/authors/472","eng","Florus historian‏"
"/cwkb/authors/472","default","Annius Florus"
"/cwkb/authors/472","ita","Anneo Giulio Floro"
"/cwkb/authors/472","abbr","Flor."
"/cwkb/authors/472","blank","Annio Floro"
"/cwkb/authors/472","lat","P. Annius Florus"
"/cwkb/authors/472","spa","Floro historiador‏ "
"/cwkb/authors/473","default","Anonymi Fragmenta de Iure Fisci"
"/cwkb/authors/2822","default","Anonymus ad Cuimnanum"
"/cwkb/authors/2665","default","Anonymus Augustodunensis"
"/cwkb/authors/2633","default","Anonymus De Philosophia Platonica"
"/cwkb/authors/2434","default","Anonymus Iamblichi"
"/cwkb/authors/2625","default","Anonymus Londinensis"
"/cwkb/authors/2782","default","Anonymus perperam Antoninus dictus Placentinus"
"/cwkb/authors/736","default","Antigoni Epistula"
"/cwkb/authors/737","default","Antigonus Carystius"
"/cwkb/authors/737","blank","Antigonos"
"/cwkb/authors/737","abbr","Antig."
"/cwkb/authors/737","fre","Antigone de Caryste"
"/cwkb/authors/737","ita","Antigono‏ di Caristo"
"/cwkb/authors/2459","default","Antigonus Nicaenus"
"/cwkb/authors/1164","default","Antigonus Nicaeus"
"/cwkb/authors/2544","default","Antiochus Syracusanus"
"/cwkb/authors/738","default","Antiphon"
"/cwkb/authors/738","lat","Antiphon Atheniensis"
"/cwkb/authors/738","gre","Ἀντιφῶν ρήτωρ"
"/cwkb/authors/738","fre","Antiphon le Rhéteur‏ "
"/cwkb/authors/738","spa","Antifonte"
"/cwkb/authors/739","default","Antisthenes"
"/cwkb/authors/739","abbr","Antisth."
"/cwkb/authors/739","fre"," Antisthène"
"/cwkb/authors/740","default","Antonini Pii Imperatoris Epistula"
"/cwkb/authors/741","default","Antoninus Liberalis"
"/cwkb/authors/741","spa","Antonino Liberal"
"/cwkb/authors/741","abbr","Ant. Lib."
"/cwkb/authors/741","ita","Antonino‏ "
"/cwkb/authors/742","default","Antonius Hagiographus"
"/cwkb/authors/742","ger","Antonios"
"/cwkb/authors/742","abbr","Anton. Hag."
"/cwkb/authors/2435","default","Antonius Magnus"
"/cwkb/authors/373","default","Antonius Panurgus"
"/cwkb/authors/743","default","Anubion"
"/cwkb/authors/743","lat","Anubio"
"/cwkb/authors/743","abbr","Anub."
"/cwkb/authors/2444","default","Anyte"
"/cwkb/authors/744","default","Aphareus"
"/cwkb/authors/744","abbr","Aphar."
"/cwkb/authors/744","ita","Afareo"
"/cwkb/authors/745","default","Aphthonius"
"/cwkb/authors/745","spa","Aftonio de Antioquía"
"/cwkb/authors/745","blank","Aphthonios"
"/cwkb/authors/745","abbr","Aphth."
"/cwkb/authors/745","ita","Aftonio di Antiochia"
"/cwkb/authors/2570","default","Apion Grammaticus"
"/cwkb/authors/746","default","Apocalypsis Baruch"
"/cwkb/authors/746","abbr","Apoc. Bar."
"/cwkb/authors/747","default","Apocalypsis Esdrae"
"/cwkb/authors/747","abbr","Apoc. Esd."
"/cwkb/authors/2545","default","Apollas"
"/cwkb/authors/2622","ger","Apollodoros von Athen"
"/cwkb/authors/2622","fre","Apollodore d’Athènes"
"/cwkb/authors/2622","eng","Apollodorus of Athens"
"/cwkb/authors/2622","default","Apollodorus Atheniensis"
"/cwkb/authors/2622","ita","Apollodoro Ateniese"
"/cwkb/authors/2622","abbr","Apollod."
"/cwkb/authors/748","default","Apollodorus Damascenus"
"/cwkb/authors/748","lat","Apollodorus Damascenus"
"/cwkb/authors/748","abbr","Apollod."
"/cwkb/authors/748","ger","Apollodoros"
"/cwkb/authors/748","ita","Apollodoro"
"/cwkb/authors/2847","ger","Apollodoros der Grammatiker"
"/cwkb/authors/2847","fre","Apollodore le Mythographe"
"/cwkb/authors/2847","default","Apollodorus Mythographus"
"/cwkb/authors/2847","abbr","Apollod."
"/cwkb/authors/2847","blank","Apollodoros"
"/cwkb/authors/2847","lat","Apollodorus Grammaticus"
"/cwkb/authors/1169","default","Apollonius Biographus"
"/cwkb/authors/1168","default","Apollonius Citiensis"
"/cwkb/authors/750","fre","Apollonius Dyscole"
"/cwkb/authors/750","default","Apollonius Dyscolus"
"/cwkb/authors/750","ita","Apollonio Discolo"
"/cwkb/authors/750","abbr","A. D."
"/cwkb/authors/750","blank","Apollonios"
"/cwkb/authors/750","lat","Apollonius Alexandrinus"
"/cwkb/authors/750","spa","Apolonio Díscolo"
"/cwkb/authors/1166","default","Apollonius Paradoxographus"
"/cwkb/authors/1165","ger","Apollonios Mathematiker"
"/cwkb/authors/1165","fre","Apollonius de Perga"
"/cwkb/authors/1165","eng","Apollonius of Perga"
"/cwkb/authors/1165","default","Apollonius Pergaeus"
"/cwkb/authors/1165","ita","Apollonio Pergeo"
"/cwkb/authors/1165","abbr","Apollon. Perg."
"/cwkb/authors/751","ger","Apollonios von Rhodos"
"/cwkb/authors/751","fre","Apollonios de Rhodes"
"/cwkb/authors/751","eng","Apollonius the Rhodian"
"/cwkb/authors/751","default","Apollonius Rhodius"
"/cwkb/authors/751","ita","Apollonio"
"/cwkb/authors/751","abbr","A. R."
"/cwkb/authors/751","spa","Apolonio de Rodas"
"/cwkb/authors/1170","default","Apollonius Sophista"
"/cwkb/authors/1167","default","Apollonius Tyanensis"
"/cwkb/authors/376","default","App. Claudius Caecus"
"/cwkb/authors/376","lat","Appius Claudius Caecus"
"/cwkb/authors/376","spa","Apio Claudio Ceco"
"/cwkb/authors/376","abbr","App. Claud."
"/cwkb/authors/376","ita","Appio Claudio Cieco"
"/cwkb/authors/677","default","Appendix Vergiliana"
"/cwkb/authors/752","ger","Appianos"
"/cwkb/authors/752","fre","Appien"
"/cwkb/authors/752","eng","Appian"
"/cwkb/authors/752","default","Appianus"
"/cwkb/authors/752","ita","Appiano"
"/cwkb/authors/752","abbr","App."
"/cwkb/authors/752","spa","Apiano"
"/cwkb/authors/2430","default","Appius Claudius Caecus"
"/cwkb/authors/2666","default","Apponius (Aponius)"
"/cwkb/authors/2783","default","Apringius Pacensis"
"/cwkb/authors/377","fre","Apulée"
"/cwkb/authors/377","eng","Apuleius of Madauros"
"/cwkb/authors/377","default","Apuleius"
"/cwkb/authors/377","ita","Apuleio di Madaura"
"/cwkb/authors/377","abbr","Apul."
"/cwkb/authors/377","lat","Apuleius Madaurensis"
"/cwkb/authors/377","spa","Apuleyo, Lucio"
"/cwkb/authors/2627","default","Apuleius (pseudo)"
"/cwkb/authors/379","default","Aquilius"
"/cwkb/authors/2784","default","Arator"
"/cwkb/authors/753","default","Aratus"
"/cwkb/authors/753","spa","Árato de Soles"
"/cwkb/authors/753","ita","Arato"
"/cwkb/authors/753","abbr","Arat."
"/cwkb/authors/753","ger","Aratos "
"/cwkb/authors/380","default","Arbonius Silo"
"/cwkb/authors/380","lat","Arbronius Silo"
"/cwkb/authors/380","abbr","Arbon."
"/cwkb/authors/754","default","Arcadius"
"/cwkb/authors/754","lat","Pseudo Arcadius"
"/cwkb/authors/754","abbr","Arc."
"/cwkb/authors/754","ger","Arkadios"
"/cwkb/authors/755","default","Archelaus"
"/cwkb/authors/755","lat","Archelaus Aegyptius"
"/cwkb/authors/755","abbr","Archel. Aeg."
"/cwkb/authors/755","ger","Archelaos"
"/cwkb/authors/2443","default","Archelaus Aegyptius"
"/cwkb/authors/2404","default","Archelaus Philosophus"
"/cwkb/authors/2414","default","Archestratus "
"/cwkb/authors/2669","default","Archidiaconus Romanus anonymus"
"/cwkb/authors/756","default","Archilochus"
"/cwkb/authors/756","ger","Archilochos"
"/cwkb/authors/756","abbr","Archil."
"/cwkb/authors/756","fre","Archiloque"
"/cwkb/authors/756","ita","Archiloco"
"/cwkb/authors/757","default","Archimedes"
"/cwkb/authors/757","spa","Arquímedes"
"/cwkb/authors/757","abbr","Archim."
"/cwkb/authors/757","fre","Archimède"
"/cwkb/authors/757","ita","Archimede"
"/cwkb/authors/758","default","Archimelus"
"/cwkb/authors/758","ger","Archimelos"
"/cwkb/authors/758","abbr","Archimel."
"/cwkb/authors/759","default","Aretaeus"
"/cwkb/authors/759","ger","Aretaios"
"/cwkb/authors/759","abbr","Aret."
"/cwkb/authors/759","fre","Arétée"
"/cwkb/authors/759","ita","Areteo"
"/cwkb/authors/760","ger","Aristarch"
"/cwkb/authors/760","fre","Aristarque"
"/cwkb/authors/760","default","Aristarchus"
"/cwkb/authors/760","ita","Aristarco"
"/cwkb/authors/760","abbr","Aristarch. Sam."
"/cwkb/authors/760","lat","Aristarchus Samius"
"/cwkb/authors/761","default","Aristeae Epistula"
"/cwkb/authors/761","lat","Aristeas Iudaeus "
"/cwkb/authors/761","blank","pseudo-Aristeas"
"/cwkb/authors/2632","default","Aristides Apologeta"
"/cwkb/authors/762","default","Aristides Quintilianus"
"/cwkb/authors/762","abbr","Aristid. Quint."
"/cwkb/authors/762","fre","Aristide Quintilien"
"/cwkb/authors/762","blank","Aristeides"
"/cwkb/authors/2542","default","Aristodemus Historicus"
"/cwkb/authors/2597","default","Ariston Ceus"
"/cwkb/authors/763","default","Aristonicus"
"/cwkb/authors/763","ger","Aristonikos"
"/cwkb/authors/763","abbr","Ariston."
"/cwkb/authors/763","ita","Aristonico"
"/cwkb/authors/2529","default","Aristonicus Tarentinus"
"/cwkb/authors/764","default","Aristonous"
"/cwkb/authors/764","ita","Aristonoo"
"/cwkb/authors/764","blank","Aristonoos"
"/cwkb/authors/1171","default","Aristophanes Byzantius"
"/cwkb/authors/1171","spa","Aristófanes de Bizancio"
"/cwkb/authors/1171","abbr","Ar. Byz."
"/cwkb/authors/1171","ita","Aristofane"
"/cwkb/authors/765","default","Aristophanes Comicus"
"/cwkb/authors/765","spa","Aristófanes"
"/cwkb/authors/765","abbr","Ar."
"/cwkb/authors/765","fre","Aristophane"
"/cwkb/authors/765","ita","Aristofane"
"/cwkb/authors/766","default","Aristoteles et Corpus Aristotelicum"
"/cwkb/authors/766","ita","Aristotele"
"/cwkb/authors/766","abbr","Arist."
"/cwkb/authors/766","fre","Aristote"
"/cwkb/authors/766","eng","Aristotle"
"/cwkb/authors/767","fre","Aristoxène "
"/cwkb/authors/767","default","Aristoxenus"
"/cwkb/authors/767","ita","Aristosseno "
"/cwkb/authors/767","abbr","Aristox."
"/cwkb/authors/767","blank","Aristoxenos"
"/cwkb/authors/767","spa","Aristóxeno"
"/cwkb/authors/2417","default","Aristoxenus Tarentinus"
"/cwkb/authors/768","default","Arius Didymus"
"/cwkb/authors/2667","default","Arnobius iunior"
"/cwkb/authors/2668","default","Arnobius maior"
"/cwkb/authors/381","default","Arruntius"
"/cwkb/authors/381","lat","L. Arruntius"
"/cwkb/authors/381","abbr","Arrunt."
"/cwkb/authors/381","ger","Arruntius Historiker"
"/cwkb/authors/769","fre","Artémidore d'Éphèse"
"/cwkb/authors/769","default","Artemidorus"
"/cwkb/authors/769","ita","Artemidoro"
"/cwkb/authors/769","abbr","Artem."
"/cwkb/authors/769","blank","Artemidoros"
"/cwkb/authors/769","lat","Artemidorus Daldianus"
"/cwkb/authors/770","default","Asclepiades"
"/cwkb/authors/770","ita","Asclepiade"
"/cwkb/authors/770","abbr","Asclep."
"/cwkb/authors/770","fre","Asclépiade"
"/cwkb/authors/770","blank","Asklepiades"
"/cwkb/authors/2546","default","Asclepiades Tragilensis"
"/cwkb/authors/771","default","Asclepiodotus"
"/cwkb/authors/771","abbr","Ascl."
"/cwkb/authors/771","fre","Asclépiodote"
"/cwkb/authors/771","blank","Asklepiodotos"
"/cwkb/authors/2615","default","Asconius"
"/cwkb/authors/2415","default","Asius"
"/cwkb/authors/772","default","Aspasius"
"/cwkb/authors/772","abbr","Asp."
"/cwkb/authors/772","blank","Aspasios"
"/cwkb/authors/773","default","Asterius Amasenus"
"/cwkb/authors/773","ita","Asterio"
"/cwkb/authors/773","abbr","Ast. Am."
"/cwkb/authors/773","blank","Asterios"
"/cwkb/authors/2670","default","Asterius Ansedunensis"
"/cwkb/authors/774","default","Asterius Sophista"
"/cwkb/authors/774","abbr","Ast. Soph."
"/cwkb/authors/2631","default","Astydamas"
"/cwkb/authors/385","default","Ateius Praetextatus"
"/cwkb/authors/385","lat","Lucius Ateius Praetextatus Philologus"
"/cwkb/authors/385","ger","Ateius‏ Grammatiker‏"
"/cwkb/authors/775","default","Athanasius Alexandrinus"
"/cwkb/authors/775","abbr","Ath. Al."
"/cwkb/authors/775","fre","Athanase"
"/cwkb/authors/775","blank","Athanasios "
"/cwkb/authors/1173","default","Athenaeus Mecanichus"
"/cwkb/authors/1173","ger","Athenäus"
"/cwkb/authors/1173","blank","Athenaios"
"/cwkb/authors/1173","abbr","Ath. Mech."
"/cwkb/authors/1173","ita","Ateneo"
"/cwkb/authors/1172","default","Athenaeus Sophista"
"/cwkb/authors/777","default","Athenagoras"
